metric,map,fqband,rho,p
inverted,MOR,hgamma,-0.24975369458128074,0.1913402292843798
inverted,KOR,delta,0.09605911330049259,0.6201140668918736
inverted,KOR,theta,0.022167487684729058,0.909128127792977
inverted,KOR,alpha,0.17881773399014775,0.35334755973811516
inverted,KOR,beta,0.06059113300492609,0.7548676629159325
inverted,KOR,lgamma,-0.09162561576354677,0.6364191164436648
inverted,KOR,hgamma,-0.19753694581280784,0.3043534339833452
inverted,CB1,delta,-0.09704433497536943,0.6165141670277832
inverted,CB1,theta,-0.2955665024630541,0.11954812472369088
inverted,CB1,alpha,-0.08916256157635466,0.6455504218989643
inverted,CB1,beta,-0.1172413793103448,0.5447226506761997
inverted,CB1,lgamma,-0.2448275862068965,0.20053516398805937
inverted,CB1,hgamma,-0.2699507389162561,0.15670671135883546
