parc,metric,map,effect,converged,df_model,df_resid,beta,chi2,p,pmeff
Schaefer200Subcortical,original,KOR,treat,True,9,152,,0.9284012030590297,0.6286374361865519,0.9999882041277068
Schaefer200Subcortical,original,KOR,session,True,9,152,,6.170549013756674,0.012989429231841418,0.1391009937264368
Schaefer200Subcortical,original,KOR,treat*session,True,9,152,,7.75122069474059,0.02074167438311352,0.21345829949491557
Schaefer200Subcortical,original,CB1,treat,True,9,152,,0.28884244077302923,0.8655230952922706,0.9999999998957594
Schaefer200Subcortical,original,CB1,session,True,9,152,,0.173789930976867,0.6767653087603847,0.9999975946526594
Schaefer200Subcortical,original,CB1,treat*session,True,9,152,,0.4395062157765752,0.8027169579842628,0.9999999915909017
Schaefer200Subcortical,inverted,CMRglu,treat,True,9,152,,4.172330759139918,0.12416233956609991,0.7516830296942
Schaefer200Subcortical,inverted,CMRglu,session,True,9,152,,0.09636961717599522,0.7562305149065349,0.9999996381057291
Schaefer200Subcortical,inverted,CMRglu,treat*session,True,9,152,,11.336172494960216,0.003454469954808,0.03570813737129508
Schaefer200Subcortical,inverted,SV2A,treat,True,9,152,,2.0140714044318013,0.36530023487518976,0.9915772597606706
Schaefer200Subcortical,inverted,SV2A,session,True,9,152,,0.5442747018386039,0.4606665307200076,0.9984778902289506
Schaefer200Subcortical,inverted,SV2A,treat*session,True,9,152,,6.20483314766297,0.04494046910385085,0.38316856131392607
Schaefer200Subcortical,inverted,HDAC,treat,True,9,152,,3.852083374777917,0.145723879038293,0.8089015262595187
Schaefer200Subcortical,inverted,HDAC,session,True,9,152,,0.0003471608691383351,0.9851344727548247,1.0
Schaefer200Subcortical,inverted,HDAC,treat*session,True,9,152,,6.809366639758775,0.03321733768704977,0.2988023603872114
Schaefer200Subcortical,inverted,VMAT2,treat,True,9,152,,1.0113237033716713,0.6031062763974769,0.9999393261449536
Schaefer200Subcortical,inverted,VMAT2,session,True,9,152,,0.15370198650138675,0.695022416143787,0.9999961905882642
Schaefer200Subcortical,inverted,VMAT2,treat*session,True,9,152,,5.009796742971417,0.08168389897677211,0.5915543550129999
Schaefer200Subcortical,inverted,mGluR5,treat,True,9,152,,2.0044730969952758,0.36705758036833974,0.9918191061318314
Schaefer200Subcortical,inverted,mGluR5,session,True,9,152,,1.0500059759506666,0.3055057105503486,0.9783076371804056
Schaefer200Subcortical,inverted,mGluR5,treat*session,True,9,152,,3.4265693952108456,0.18027267781586476,0.8761583504051429
Schaefer200Subcortical,inverted,NMDA,treat,True,9,152,,1.466778351927945,0.4802784803271546,0.9989686346359479
Schaefer200Subcortical,inverted,NMDA,session,True,9,152,,0.3173378776709379,0.5732118922143384,0.9998698652493733
Schaefer200Subcortical,inverted,NMDA,treat*session,True,9,152,,8.85165186959255,0.011964325466121748,0.11880407410350946
Schaefer200Subcortical,inverted,GABAa,treat,True,9,152,,0.6140989494283484,0.7356142057043699,0.9999991506840782
Schaefer200Subcortical,inverted,GABAa,session,True,9,152,,0.2190533960549635,0.6397621315017583,0.9999780826657105
Schaefer200Subcortical,inverted,GABAa,treat*session,True,9,152,,7.472135008153491,0.023847699958981883,0.22401340562151595
Schaefer200Subcortical,inverted,GABAa5,treat,True,9,152,,0.029691668138275295,0.9852638220094807,1.0
Schaefer200Subcortical,inverted,GABAa5,session,True,9,152,,2.3371623300520645,0.12631947533539054,0.7580346938362014
Schaefer200Subcortical,inverted,GABAa5,treat*session,True,9,152,,1.743420267492988,0.4182356983399841,0.9966268160654558
Schaefer200Subcortical,inverted,NET,treat,True,9,152,,0.6393230135892253,0.7263948751937583,0.9999987824477733
Schaefer200Subcortical,inverted,NET,session,True,9,152,,1.9348227250880272,0.16423177889248733,0.8481887603315348
Schaefer200Subcortical,inverted,NET,treat*session,True,9,152,,0.6906199202633176,0.7080008674115164,0.999997587838884
Schaefer200Subcortical,inverted,A4B2,treat,True,9,152,,3.9790952702886484,0.13675727564029955,0.7867417099931209
Schaefer200Subcortical,inverted,A4B2,session,True,9,152,,1.1435112657795619,0.2849116001607708,0.9705109857229368
Schaefer200Subcortical,inverted,A4B2,treat*session,True,9,152,,11.364759330306422,0.0034054449748172058,0.03520955520440905
Schaefer200Subcortical,inverted,M1,treat,True,9,152,,3.4956471312750272,0.17415256290301306,0.8660906640162258
Schaefer200Subcortical,inverted,M1,session,True,9,152,,0.47085179269659677,0.4925955648840401,0.9991983957152893
Schaefer200Subcortical,inverted,M1,treat*session,True,9,152,,9.899589028554054,0.007084864618013548,0.07198778507221504
