parc	metric	sample	between	dv	n	df_model	df_resid	F	p	pmeff	beta	np2	posthoc	covariates
Schaefer200	inverted	all	dx	KOR	151	1.0	143.0	2.1706604655580883	0.14286361053020669	0.7096658530872153	-0.28836119934145166	0.014952473582450087		sex, age, mean_fd, gc, apd_chlor_equiv
Schaefer200	inverted	all	dx	CB1	151	1.0	143.0	0.12567667461662566	0.7234796564771746	0.9999667878125473	0.06762286222184535	0.0008780861515319876		sex, age, mean_fd, gc, apd_chlor_equiv
Schaefer200	inverted	off_med	dx	CMRglu	110	1.0	104.0	7.565275410522358	0.00701958159253243	0.05504075373802064	-0.5494329641972306	0.06781030551562493	CTRL > PSY	sex, age, mean_fd, gc
Schaefer200	inverted	off_med	dx	SV2A	110	1.0	104.0	2.0548178248475284	0.1547249642143455	0.7409984623583242	-0.2887027260995117	0.019375054023864496		sex, age, mean_fd, gc
Schaefer200	inverted	off_med	dx	HDAC	110	1.0	104.0	8.609513710861624	0.004115217174093529	0.03259801208693691	-0.5810164384636168	0.07645458564866535	CTRL > PSY	sex, age, mean_fd, gc
Schaefer200	inverted	off_med	dx	VMAT2	110	1.0	104.0	3.6523719904744705	0.05874259078766072	0.385246029183939	-0.37721184622622705	0.03392746414168791		sex, age, mean_fd, gc
Schaefer200	inverted	off_med	dx	mGluR5	110	1.0	104.0	4.149350647511839	0.04419061289959648	0.30457676386577803	-0.3989371448929513	0.038366856783409654		sex, age, mean_fd, gc
Schaefer200	inverted	off_med	dx	NMDA	110	1.0	104.0	4.16407214450523	0.04382342559401334	0.302426793482643	-0.4036153833892796	0.038497738315011895	CTRL > PSY	sex, age, mean_fd, gc
Schaefer200	inverted	off_med	dx	GABAa	110	1.0	104.0	0.5789351337261184	0.44845174139805755	0.9916213461978431	-0.14989542217678642	0.005535867552923811		sex, age, mean_fd, gc
Schaefer200	inverted	off_med	dx	GABAa5	110	1.0	104.0	1.7051671258969832	0.1944946916580003	0.8241686437014614	-0.25611084461103617	0.016131350739610438		sex, age, mean_fd, gc
Schaefer200	inverted	off_med	dx	NET	110	1.0	104.0	0.788680481976587	0.37654874239808167	0.9775673104897833	-0.1756020392441387	0.007526390048515195		sex, age, mean_fd, gc
Schaefer200	inverted	off_med	dx	A4B2	110	1.0	104.0	2.7744019059887246	0.09879196439794258	0.5665482376435537	-0.3365246294163336	0.025983773792818736		sex, age, mean_fd, gc
Schaefer200	inverted	off_med	dx	M1	110	1.0	104.0	3.4737523512502952	0.06517052634546347	0.41818633476373623	-0.3723725652066038	0.03232186720248894		sex, age, mean_fd, gc
Schaefer200	inverted	off_med	dx	VAChT	110	1.0	104.0	1.3643229658190144	0.2454604048140332	0.8960169696009379	-0.2311309174939347	0.012948623665162362		sex, age, mean_fd, gc
Schaefer200	inverted	off_med	dx	FDOPA	110	1.0	104.0	4.749934106763079	0.031555875154310596	0.22716826430607406	-0.4203252138034965	0.04367758146961199	CTRL > PSY	sex, age, mean_fd, gc
